"title","full_address","email","affiliations","type","established","phone"
"Shree Kalyan Secondary School","Paulaha, Belauri-7, Kanchanpur","N/A","N/A","Public","N/A","N/A"
"Sushant English Boarding School","Dewahi Gonahi, Rautahat","N/A","N/A","Private","N/A","N/A"
"Siddhartha Academy","Srijananagar, Sallaghari, Suryabinayak-5, Bhaktapur","N/A","N/A","Private","N/A","01-6615178"
"Eklavya Basic 0-3 School Haridarshan Tengar","Tengar, Ramgopalpur-2, Mahottari","N/A","N/A","Public","N/A","N/A"
"Adarsha Secondary School, Deurali","Deurali, Ribdikot-2, Palpa","N/A","National Examinations Board, CTEVT","Public","N/A","075-520513, 075690419"
"Bhanu Secondary School","Lichkiramche Mabe, Khotehang-9, Khotang","N/A","N/A","Public","N/A","9861500386"
"Peace Zone Academy","Pokhara, Kaski","N/A","N/A","Private","N/A","N/A"
"Shree Rastriya Basic School","Chakhlemela, Sanibheri-4, Western Rukum","N/A","N/A","Public","N/A","N/A"
"Ramashaibar Adharbhut Bidhyalay, Semara","Semra, Krishnanagar-1, Kapilvastu","N/A","N/A","Public","N/A","N/A"
"Golden English School","Lumbini Sanskritik, Rupandehi","N/A","N/A","Private","N/A","N/A"
"Shree Chidipani Secondary School","Juniya, Satyawati-7, Gulmi","N/A","N/A","Public","N/A","N/A"
"Sigana Secondary School Patle","Titayang-9, Baglung","N/A","National Examinations Board","Public","N/A","N/A"
"Ram Secondary School","Ganeshtar, Mahalaxmi-9, Dhankuta","N/A","N/A","Public","N/A","N/A"
"Bhawani Secondary School","Saugannaa, Apihimal-5, Darchula","N/A","N/A","Public","N/A","N/A"
"Laxmi Secondary School","Laxminagar, Butwal-4, Rupandehi","N/A","N/A","Public","N/A","N/A"
"Sudha Sagar Vidhya Sadan","Gattaghar, Madhyapur Thimi-3, Bhaktapur","N/A","N/A","Private","N/A","N/A"
"Smriti Kinder Garten Basic School","Ji.Bi.Sa.Road, Gulariya-5, Bardiya","N/A","N/A","Private","N/A","N/A"
"Kailashnagar Secondary School","Kailashnagar, Bharatpur-5, Chitwan","N/A","N/A","Public","N/A","N/A"
"Nawalpur Valley School","Indrawati, Sindhupalchok","N/A","N/A","Private","N/A","N/A"
"Shishu Biddhapith English Boarding School","Bhulke, Triyuga-3, Udayapur","N/A","N/A","Private","N/A","N/A"
"Saraswati Adharbhut School","Surke, Myanglung-6, Tehrathum","N/A","N/A","Public","N/A","N/A"
"Pashupati Sikshya Mandir","Butahniya, Maharajgunj-4, Kapilvastu","N/A","N/A","Public","N/A","N/A"
"Bachchhaladevi Secondary School","Bidur-7, Nuwakot","N/A","N/A","Public","N/A","N/A"
"Pancha Kanya Secondary School Sisnery","Sisneri, Ratmate, Sunkoshi-3, Okhaldhunga","N/A","N/A","Public","N/A","N/A"
"Singha Devi Secondary School","Lekharka, Temkemaiyung-9, Bhojpur","N/A","National Examinations Board","Public","N/A","N/A"
"Maheshwar Basic School","Bharabhid, Bitthadchir-1, Bajhang","N/A","N/A","Public","N/A","N/A"
"Jan Jagriti Basic School","Dayapur, Krishnapur-4, Kanchanpur","N/A","N/A","Public","N/A","N/A"
"Narendra Memorial English Boarding School","Bhrikuti Chowk, Damak-6, Jhapa","N/A","N/A","Private","N/A","N/A"
"Bhagawati Aadharbhut Bidhyalaya","Bayala, Barekot-1, Jajarkot","N/A","N/A","Public","N/A","N/A"
"Shree Basic School Rajokhair","Bishnupur-3, Siraha","N/A","N/A","Public","N/A","N/A"
"Siddhartha Basic School","Gajehada, Banganga-4, Kapilvastu","N/A","N/A","Public","N/A","N/A"
"Holika English Boarding School","Arjundhara-11, Jhapa","N/A","N/A","Private","N/A","N/A"
"Moonlight Educational Academy","Thadi Bazar, Bhagawanpur-4, Siraha","N/A","N/A","Private","N/A","N/A"
"Gajaraj English Boarding School Kushahwa","Kusahwa, Maharajgunj-7, Kapilvastu","N/A","N/A","Private","N/A","N/A"
"Ramjanki Basic School","Bhati, Katahari-6, Morang","N/A","N/A","Public","N/A","N/A"
"Janajyoti Secondary School","Patle Pani, Hatuwagadhi-8, Bhojpur","N/A","N/A","Public","N/A","N/A"
"Triveni English School","Dhurbajyoti Path, Dharan-15, Sunsari","N/A","N/A","Private","N/A","N/A"
"Lotus Bud School","Phirdi, Shuklagandaki-8, Tanahun","N/A","N/A","Private","N/A","N/A"
"Siddha Nepal Rastriya Secondary School","Bhandar, Malarani-1, Arghakhanchi","N/A","N/A","Public","N/A","N/A"
"Bp Adharbhut","Rajgunj, Dewanganj-6, Sunsari","N/A","N/A","Public","N/A","N/A"
"Bhawari Devi Basic School","Katari-5, Udayapur","N/A","N/A","Public","N/A","N/A"
"Gurukul Pathshala Angeraji Awasiya Vidhyalaya","Sabaila-1, Dhanusha","N/A","N/A","Public","N/A","N/A"
"Kedareshwar Basic School","Shapra, Sayal-3, Doti","N/A","N/A","Public","N/A","N/A"
"Sarwodaya Secondary School","Bhurung Tatopani, Annapurna-2, Myagdi","N/A","National Examinations Board","Public","N/A","N/A"
"Janata Basic School Fulbariya","Fulbariya, Aurahi-2, Mahottari","N/A","N/A","Public","N/A","N/A"
"Madrsa Gausiya Faijul Warish Olum","Harpur, Palhinandan-2, Parasi","N/A","N/A","Religious","N/A","N/A"
"Basic School Baijanathpur Tharghatti","Baijanathpur Tharghatti, Paterwa Sugauli-2, Parsa","N/A","N/A","Public","N/A","N/A"
"Sarwajanik Basic School Bavanadov","Babhanadov, Sunwarshi-3, Morang","N/A","N/A","Public","N/A","N/A"
"Phalewas Model English Secondary Boarding School","Phalewas-6, Parbat","N/A","N/A","Private","N/A","N/A"
"Chhetrapal Basic School","Tanjakot-2, Humla","N/A","N/A","Public","N/A","N/A"
"Nepal Rastriya Basic School","Sakhuwa Prasauni-2, Parsa","N/A","N/A","Public","N/A","N/A"
"Siddhartha Secondary School","Saurpani, Barpak Sulikot-4, Gorkha","N/A","N/A","Public","N/A","N/A"
"Unique Friendship B School","Muddhi, Joshipur-2, Kailali","N/A","N/A","Private","N/A","N/A"
"Laxmi Secondary School","Lichki, Khotehang-9, Khotang","N/A","N/A","Public","N/A","N/A"
"Nepal Rastriya Basic School, Suwakot","Mahabu-3, Dailekh","N/A","N/A","Public","N/A","N/A"
"Kamal Basic School","Kamalpokhari-1, Kathmandu","N/A","N/A","Public","N/A","984-7936463"
"Bhumesthan Secondary School","Ghyangmane, Melung-3, Dolakha","N/A","N/A","Public","N/A","N/A"
"Birta Education Foundation","Birtamod, Jhapa","N/A","N/A","Public","N/A","N/A"
"Siddhartha Academy","Birgunj, Parsa","N/A","N/A","Private","N/A","N/A"
"Jana Bikash Secondary School","Saunechaur, Barahapokhari-3, Khotang","N/A","N/A","Public","N/A","N/A"
"Chhinamasta Boarding School","Chhinnamasta, Saptari","N/A","N/A","Private","N/A","N/A"
"Prasiddha Model School","Bhohoratar, Balaju-16, Kathmandu","N/A","N/A","Private","N/A","01-4983366, 9844501312"
"Trishakti Education Care Home","Barahathawa, Sarlahi","N/A","N/A","Private","N/A","N/A"
"Sunrise National Academy English Boarding School","Dohamana Bazzar, Rangeli-9, Morang","N/A","N/A","Private","N/A","N/A"
"Shree Bishwa Maitry Basic School, Dohani","Dohani-8, Kapilvastu","N/A","N/A","Public","N/A","N/A"
"Rastriya Janta Aavi Laxminiya","Laxminiya, Gaushala-8, Mahottari","N/A","N/A","Religious","N/A","N/A"
"Nijananda Gurukulam Aawasiya Pathsala","Kageshwari Manohara-8, Kathmandu","N/A","N/A","Private","N/A","N/A"
"Mithila Academy","Baghchaura, Hansapur-2, Dhanusha","N/A","N/A","Private","N/A","N/A"
"Hera Public School","Laxmanpur, Narainapur-2, Banke","N/A","N/A","Private","N/A","N/A"
"Basic School Bhatauda","Bhatauda, Kalaiya-5, Bara","N/A","N/A","Public","N/A","N/A"
"Basic School Bhangahiya","Bhangahiya, Ekdara-4, Mahottari","N/A","N/A","Public","N/A","N/A"
"Golden Future English Boarding School","Rhinokunja, Bharatpur-13, Chitwan","N/A","N/A","Private","N/A","N/A"
"New Devkota Academy English School","Kanepokhari-3, Morang","N/A","N/A","Private","N/A","N/A"
"Nawadip Academy","Ramdhuni-6, Sunsari","N/A","N/A","Private","N/A","N/A"
"Phulbari English Boarding School, Phulabari","E Gaun, Dhangadhi-18, Kailali","N/A","N/A","Private","N/A","N/A"
"Rastriya Public English Boarding School","Durgathali-7, Bajhang","N/A","N/A","Private","N/A","N/A"
"Bageshwori Basic School","Jamuni, Badhaiyatal-2, Bardiya","N/A","N/A","Public","N/A","N/A"
"Shree Jana Jagaran Basic School","Baijanath-1, Banke","N/A","N/A","Public","N/A","N/A"
"Nawadurga Basic School","Jhalgaun, Triveni-8, Bajura","N/A","N/A","Public","N/A","N/A"
"Madrassa Chistiya Misbahiya Tankpasari","Tankpasari, Nepalgunj-15, Banke","N/A","N/A","Religious","N/A","N/A"
"Chandreshwor Secondary School","Pawala, Aamchowk-5, Bhojpur","N/A","N/A","Public","N/A","N/A"
"Bal Bikash Basic School","Tallo Huni, Jagannath-2, Bajura","N/A","N/A","Public","N/A","N/A"
"Kalika Devi Basic School","Tolived, Pachaljharana-6, Kalikot","N/A","N/A","Public","N/A","N/A"
"Pashupati Secondary School","Ramjathanti, Modi-7, Parbat","N/A","National Examinations Board","Public","N/A","20282"
"Madarsa Arabiya Anul Islam Viswa","Viswa, Suwarna-8, Bara","N/A","N/A","Public","N/A","N/A"
"English Wisdom English Boarding School","Ramdhuni-9, Sunsari","N/A","N/A","Private","N/A","N/A"
"Pyuthan Bright Future English Boarding School","Pyuthan","N/A","N/A","Private","N/A","N/A"
"Mewaraja Basic School","Bahanande, Phungling-8, Taplejung","N/A","N/A","Public","N/A","N/A"
"Famous Unique English Boarding School","Barbardiya-5, Bardiya","N/A","N/A","Private","N/A","N/A"
"Rapti Secondary School Pedikhola","Pedikhola Dovan, Shantinagar-1, Dang","N/A","N/A","Public","N/A","N/A"
"Basic School Tadiya","Tadiya, Ganeshman Charnath-5, Dhanusha","N/A","N/A","Public","N/A","N/A"
"Saraswoti Secondary School","Ramsikhar Jhala, Ghodaghodi-9, Kailali","N/A","N/A","Public","N/A","N/A"
"Shree Sairam Vidya Mandir","Bishnupur, Saptari","N/A","N/A","Private","N/A","N/A"
"Model Bright Career English Boarding School","Tribhuwan Nagar, Brahmapuri-4, Sarlahi","N/A","N/A","Private","N/A","N/A"
"Khudunabari Kanchanjangha English Boarding School","Arjundhara-1, Jhapa","N/A","N/A","Private","N/A","N/A"
"Gyan Jyoti English Boarding School","Rajipur, Bheemdatt-1, Kanchanpur","N/A","N/A","Private","N/A","N/A"
"Shiva Ganga Basic School, Urma","Urma, Dhangadhi-15, Kailali","N/A","N/A","Public","N/A","N/A"
"Dipendra Smriti Basic School","Folkland, Dharan-17, Sunsari","N/A","N/A","Public","N/A","N/A"
"Shree Nalang Secondary School","Charimare, Siddhalek-1, Dhading","N/A","N/A","Public","N/A","N/A"
"Balan Sikshya Montesorry And Childcare Center","Birendranagar-1, Surkhet","N/A","N/A","Private","N/A","N/A"
"Chulalahi Memorial Gyaan Joyti Englissh B School","Ramnagar, Sarlahi","N/A","N/A","Private","N/A","N/A"
"Milestone Academy","Birendranagar, Surkhet","N/A","N/A","Private","N/A","N/A"
"Shree Saraswati N. R. Basic School","Sorahawa, Badhaiyatal-3, Bardiya","N/A","N/A","Public","N/A","N/A"
"Mahendra Basic School Mujeliya","Mujeliya, Janakpurdham-14, Dhanusha","N/A","N/A","Public","N/A","N/A"
"Shree Dwarika Nath Basic School, Dwari","Masta-5, Bajhang","N/A","N/A","Public","N/A","N/A"
"Bidya Bhandar Basic School","Dhange-9, Pyuthan","N/A","N/A","Public","N/A","N/A"
"Muslim Girls Madrassa","Jhapa","N/A","N/A","Religious","N/A","N/A"
"Indreni English Boarding School","Patthargadhawa, Rapti-6, Dang","N/A","N/A","Private","N/A","N/A"
"Laxmi Basic School","Kailali, Lamkichuha-9, Kailali","N/A","N/A","Public","N/A","N/A"
"Shree Baudhimai Adharbhut School","Bahudarmai, Parsa","N/A","N/A","Public","N/A","N/A"
"Shree Deergheshwar Secondary School","Phujel, Gandaki-4, Gorkha","N/A","N/A","Public","N/A","N/A"
"Basic School Hardiya","Hardiya, Suwarna-4, Bara","N/A","N/A","Public","N/A","N/A"
"Shiksha Niketan Autari Secondary School","Pauwa, Jantedhunga-1, Khotang","N/A","N/A","Public","N/A","N/A"
"Ganesh Basic School","Ganeshpur, Gulariya-11, Bardiya","N/A","N/A","Public","N/A","N/A"
"Roseland Acedmy","Birendranagar-3, Surkhet","N/A","N/A","Private","2068 BS","N/A"
"Modern Secondary Boarding School","Daha, Amargadhi-1, Dadeldhura","N/A","N/A","Private","N/A","N/A"
"Laxmi Narayan Aa Vi","Mahavir Chowk-1, Siraha","N/A","N/A","Public","N/A","N/A"
"Shree Shanti Secondary School","Tellok, Dharmadevi-1, Sankhuwasabha","N/A","N/A","Public","N/A","N/A"
"Janata Basic School","Karuniya Bazzartole, Dewahi Gonahi-1, Rautahat","N/A","N/A","Public","N/A","N/A"
"Balbatika English Boarding School","Bijaypur, Phatuwa Bijayapur, Rautahat","N/A","N/A","Private","N/A","N/A"
"Shree Samudayik Rashtriy Shiv Shankar Basic School","Hainthi, Bodebarsain-7, Saptari","N/A","N/A","Public","N/A","N/A"
"Janata Basic School","Koiralkhark, Sunil Smriti-4, Rolpa","N/A","N/A","Public","N/A","N/A"
"Ra Basic School Madhuwan Sarswar","Madhuwan, Bodebarsain-3, Saptari","N/A","N/A","Public","N/A","N/A"
"Gosaikunda English Boarding School","Syafru, Gosaikunda-5, Rasuwa","N/A","N/A","Private","N/A","N/A"
"Madarsa Arabiya Faijul Olum Manjariya","Manjhariya, Marchawari-7, Rupandehi","N/A","N/A","Public","N/A","N/A"
"Goldenpath Academy","Rawatgaun, Dangisharan-3, Dang","N/A","N/A","Private","N/A","N/A"
"New Vision Academy","Besishahar-7, Lamjung","N/A","N/A","Private","N/A","N/A"
"Future Academy","Kisanpur, Chandranagar-1, Sarlahi","N/A","N/A","Private","N/A","N/A"
"Ravimaya Sahashiksha Academy","Purba Tole, Inaruwa-3, Sunsari","N/A","N/A","Private","N/A","N/A"
"Shree Siddha Bhim Basic School","Kaluwapur, Shuklaphanta-11, Kanchanpur","N/A","N/A","Public","N/A","N/A"
"Shukra Secondary School","Chandradangi, Shivasatakshi-7, Jhapa","N/A","N/A","Public","N/A","N/A"
"Shree Jugeshwar Secondary School","Bhimkhori, Roshi-11, Kavrepalanchok","N/A","N/A","Public","N/A","N/A"
"Bp Aadharbhut Vidhyalaya","Basantapur, Rapti-3, Dang","N/A","N/A","Public","N/A","N/A"
"Shiva Secondary School, Galkot","Kandebas, Galkot-8, Baglung","N/A","National Examinations Board","Public","N/A","9847631900"
"Shree Basic School Belsi","Ratnanagar-3, Chitwan","N/A","N/A","Public","N/A","N/A"
"Om Shanti Secondary English Boarding School","Kartikkumar, Bateshwor-1, Dhanusha","N/A","N/A","Private","N/A","N/A"
"Northstar English Boarding School","Chisapani, Tarakeshwor-3, Kathmandu","N/A","N/A","Private","N/A","N/A"
"Shiv Sagar English Boarding School","Ramnagar, Sarlahi","N/A","N/A","Private","N/A","N/A"
"Global United English Boarding School","Tripurasundari-2, Dhading","N/A","N/A","Private","N/A","N/A"
"Mahendrodaya Kalika Secondary School","Dandagaon, Neelakantha-5, Dhading","N/A","N/A","Public","N/A","N/A"
"Madrassa Ahamadiya Darul Islam","Nepalgunj-22, Banke","N/A","N/A","Public","N/A","N/A"
"Cosmos International Boarding School","Laxamanawa, Birgunj-15, Parsa","N/A","N/A","Private","N/A","N/A"
"Chakra Memorial Pathshala","Antarkhel, Gokarneshwar-8, Kathmandu","N/A","N/A","Private","N/A","N/A"
"Shree Adharbhut Bidhyalaya Bhuwanbasti","Bhuwanbasti, Bharatpur-18, Chitwan","N/A","N/A","Public","N/A","N/A"
"Saraswati Basic School, Chanaute","Birendranagar-12, Surkhet","N/A","N/A","Public","N/A","N/A"
"Shree Sarbajanik Rastriya Adharbhut Bidhyalaya","Barju-5, Sunsari","N/A","N/A","Public","N/A","N/A"
"Shree Laxmi English Boarding School","Chhipaharmai, Parsa","N/A","N/A","Private","N/A","N/A"
"Mangalodaya Secondary School","Bhanumati, Bhimad-8, Tanahun","N/A","National Examinations Board","Public","N/A","N/A"
"Janapriya Secondary School","Chinnebas, Biruwa-6, Syangja","N/A","National Examinations Board","Public","N/A","N/A"
"Janajyoti Aadharbhut Vi Mathillo Tarana","Barahatal-4, Surkhet","N/A","N/A","Public","N/A","N/A"
"Basic School Santagunj","Santagunj, Suwarna-3, Bara","N/A","N/A","Public","N/A","N/A"
"Janata Dhan Secondary School","Narayansthan-14, Baglung","N/A","National Examinations Board","Public","N/A","N/A"
"Sunrise Boarding Secondary School","Baglung","N/A","N/A","Private","N/A","N/A"
"Sharada Secondary School","Gelu, Manthali-11, Ramechhap","N/A","National Examinations Board","Public","N/A","N/A"
"Sonaul Public English Boarding School","Sonaul, Manarashiswa-3, Mahottari","N/A","N/A","Private","N/A","N/A"
"Lilja International Boarding School","Rajbiraj-6, Saptari","N/A","N/A","Public","N/A","N/A"
"Nepal Vidhya Sadan","Chabahil-7, Kathmandu","N/A","N/A","Private","1995 A.D.","01-4812622"
"Shree Janata Basic School","Kanepokhari-4, Morang","N/A","N/A","Public","N/A","N/A"
"Shree Shaktishali Basic School","Bharta, Kailash-7, Makwanpur","N/A","N/A","Public","N/A","N/A"
"Jogbani Secondary School","Amile, Rainadevi Chhahara-3, Palpa","N/A","N/A","Public","N/A","N/A"
"Amrit Public Secondary School","Agakhakhola, Rambha-3, Palpa","N/A","National Examinations Board","Public","N/A","N/A"
"Deep Jyoti Secondary School","Biratnagar-3, Morang","N/A","N/A","Public","N/A","N/A"
"Kisani Chandrakunta Secondary School","Dhaulagiri-7, Myagdi","N/A","N/A","Public","N/A","N/A"
"Hattilung Madhyamik Vidyalaya","Mathagadhi-5, Palpa","N/A","N/A","Public","N/A","N/A"
"Shree Kallabari Secondary School","Kaunegara, Dudhpokhari-1, Lamjung","N/A","N/A","Public","N/A","N/A"
"Masta Dev Basic School Budhagaun","Adanchuli-2, Humla","N/A","N/A","Public","N/A","N/A"
"Aadharbhuta School Lohadabara","Khausapur, Tulsipur-14, Dang","N/A","N/A","Public","N/A","N/A"
"Bhrikuti Secondary School","Pasang Lhamu Road, Nepalgunj-10, Banke","N/A","N/A","Private","N/A","081-523795, 521075"
"Dalit Basic School Raghunathpur","Kiratpur, Sabaila-13, Dhanusha","N/A","N/A","Public","N/A","N/A"
"Jalpa Devi Secondary School","Khatamma, Salpasilichho-4, Bhojpur","N/A","N/A","Public","N/A","N/A"
"Shantipur Secondary School","Shantipur, Rong-2, Ilam","N/A","National Examinations Board","Public","N/A","9742018442"
"Orchid Eden Academy","Ghorahi-16, Dang","N/A","N/A","Private","N/A","N/A"
"Heaven'S Garden English School, Laxminagar","Dhangadhi-1, Kailali","N/A","N/A","Private","N/A","N/A"
"Baliram English Boarding School","Nokailwa, Brahmapuri-6, Sarlahi","N/A","N/A","Private","N/A","N/A"
"Ganesh Aadharbhuth Vidhalaya","Pipalthala, Bedkot-1, Kanchanpur","N/A","N/A","Public","N/A","N/A"
"Shree Rastriya Aadharvut Vidhyalay (0-5) Pakadiya","Pakadiya, Kshireshwornath-3, Dhanusha","N/A","N/A","Public","N/A","N/A"
"Shree Nuwadev Basic School","Naraharinthya, Naraharinath-1, Kalikot","N/A","N/A","Public","2045 B.S","+977 986-8930943"
"Sundarban School Of Science","Dhunga Adda, Chandragiri-15, Kathmandu","N/A","N/A","Private","N/A","N/A"
"Manakamana English Boarding School Manikapur","Tikapur-5, Kailali","N/A","N/A","Private","N/A","N/A"
"Surya Jyoti Aadharbhut Vidyalaya","Mithyangra, Bheri-7, Jajarkot","N/A","N/A","Public","N/A","N/A"
"Nepal Rastriya Basic School","Jabaka, Devtal-7, Bara","N/A","N/A","Public","N/A","N/A"
"Kalika Adharbhut Biddyalaya","Mechinagar-15, Jhapa","N/A","N/A","Public","N/A","N/A"
"Nepal English School","Bharatpur-11, Chitwan","N/A","N/A","Private","N/A","N/A"
"Brighter Star English School","Campusmode, Damak-9, Jhapa","N/A","N/A","Private","N/A","N/A"
"Nicholson Secondary School","Sallaghari-1, Bhaktapur","N/A","National Examinations Board","Private","N/A","01-6610662, 01-615931"
"Janata Basic School","Mainahiya, Gaidahawa-8, Rupandehi","N/A","N/A","Public","N/A","N/A"
"Baudhimai Nepal Rastriya Basic School","Pokhariya, Parsa","N/A","N/A","Public","N/A","N/A"
"Bardaghat Enlightened English School","Bardaghat-2, Parasi","N/A","N/A","Private","N/A","N/A"
"Sun Shine English Boarding School","Birgunj, Parsa","N/A","N/A","Private","N/A","N/A"
"Subhakamana Secondary Boarding School","Bholdhoka, Patan-8, Lalitpur","N/A","N/A","Private","N/A","01-5540902, 9851011419"
"Shree Yuwa Barsa Jana Mukhi Namuna Aadharbhut School","Patani, Bahudarmai-5, Parsa","N/A","N/A","Public","N/A","N/A"
"Bishwokarma Secondary School","Kalimati-7, Baglung","N/A","National Examinations Board","Public","N/A","068-690193"
"Shiv Radika Basic School Materiya","Materiya, Kalaiya-22, Bara","N/A","N/A","Public","N/A","N/A"
"Himshikha Bidhya Mandir English Boarding Secondary School","Naumule, Dailekh","N/A","N/A","Private","N/A","N/A"
"Shree Shishu Kalyan Basic School","Bardibas-8, Mahottari","N/A","N/A","Public","N/A","N/A"
"Shree Durgadevi Basic School","Gum, Shikhar-1, Doti","N/A","N/A","Public","N/A","N/A"
"Vidya Jyoti Secondary School","Majhphat, Jaljala-3, Parbat","N/A","National Examinations Board","Public","N/A","N/A"
"Siddheshor Mahadev Secondary School","Lauki, Rapti Sonari-1, Banke","N/A","N/A","Public","N/A","N/A"
"Shree New Kasmi Aabasiya Siksha Niketan","Gadhimai, Rautahat","N/A","N/A","Private","N/A","N/A"
"Lake Ghodaghodi Academy (Montessori) School","Hasanpur, Dhangadhi-5, Kailali","N/A","N/A","Private","N/A","N/A"
"Mithila Basic School Ghodghas","Ghodghans, Nagarain-3, Dhanusha","N/A","N/A","Public","N/A","N/A"
